class,s1,prob1,frame1,s2,prob2,frame2,s3,prob3,frame3,s4,prob4,frame4,s5,prob5,frame5,s6,prob6,frame6,s7,prob7,frame7,s8,prob8,frame8
member,dh ix cl k r iy er w ix z ix vcl d w ao r,0.821853,160,dh ax r ow z cl k er s aa zh s epi m eh l vcl d s epi w iy cl,0.916746,218,dh ax cl p r aw l er w er s cl k iy m ae s cl k f ao r vcl d ix s vcl g ay,0.877709,262,k r eh cl t eh cl k s ix cl k y uw sh en ah v m ay n s cl t r ah cl k sh en z ix z cl k r uw sh,0.826228,264,b ae l iy l aa vcl jh y er l iy s eh l ax vcl b r ey cl s dh ax f er s cl k ae f vcl b ao r,0.83439,298,hh ih z n ey m vcl b iy cl k ey n s en aa n ax m ah s epi w ix th cl k el vcl b l eh dx ix vcl d cl k r uw el cl t,0.823344,308,t uw w uh m ix n hh uw eh vcl b eh n ch ae dx er ix ng l ay cl p eh r ix cl s sil w er s cl t r eh cl d ah,0.781788,330,ay vcl d iy l iy hh iy n uw ix cl sh uh vcl b iy cl p er s iy dx ih vcl b ay cl k aa n cl k r iy cl p r aa vcl r eh s ix l ow er l eh v el,0.853351,462
member,r ah n vcl d aw n ay er n cl p ao,0.994475,160,hh iy cl p uh dx ih cl ix n ih z ow n cl p aa cl k ix cl t f er s ey f iy cl p ix,0.846716,248,n aw hh iy z vcl b aa dx ix cl t s eh vcl m ay w ay f cl k ix n cl t eh n vcl d ix vcl d l,0.836017,253,dh ax w ih l iy w ax n w ao r sil ey m ah s cl k r ae cl t cl k ow cl,0.910017,265,ay r ih sh ah ng s cl t er z iy cl f r eh sh cl k ih cl p er z f er vcl b r eh cl k f ix s cl,0.798464,306,dh ax cl p ey cl p er vcl b oy vcl b ao cl t uw ae cl p el z eh n epi th r iy ay s ix,0.961154,319,dh iy iy s cl t er n cl k ow s ix z ix cl p l ey s f er cl p y er cl p l eh zh er ae n ix cl k s ay cl m ix,0.886692,343,dh ax l ow cl k el vcl d r ah vcl g s cl t ao r w ix sh cl ch aa r vcl jh epi w ax th ih l iy l iy vcl d ix s cl p eh n cl t s ix ng cl t r ae ng cl k w ax l ay z er,0.858264,419
member,ay vcl d r eh s epi n iy vcl s ax m er cl k aa n ix,0.78537,169,dh ix cl dh ae dx eh cl k s cl p ah n ey sh ix n ix z ow n iy cl p aa r l iy cl t r,0.860263,277,dh ax hh ao l w ey ow cl p ix n z ix n cl t uw ey hh y uw vcl jh cl ch ey m vcl b,1.00402,278,dh ow s ix cl t iy cl ch v ae y uw z f er s cl t ax vcl b aa l ix sh cl ch iy dx iy,0.922086,278,dh ix vcl b ih cl d ao vcl g l ah v cl t ax cl ch uw ah n dh ax ow l vcl d r ae vcl d ao,0.973812,317,dh ix cl p r iy v iy ix s cl p iy cl k er cl p r ix z eh n ix vcl d ae m vcl b ih vcl g y uw ix s r ix z eh l cl,0.819545,329,ch aa cl k l ix cl t ix n r ow z ix z epi n eh v er f ey l eh z ax r ow m ae n cl t ix cl g ih f cl,0.909592,350,eh n dh ix cl k r aa n ax cl k l er z ah n aa cl dh ix vcl d er m ae dx ix cl p ow ix cl s sil dh ax cl dh ix cl p r ow z epi n aa v ax l ih s cl,0.831058,431
member,dh eh n ih cl t ah l ax f ah n iy ng vcl b iy vcl g ae,0.847229,173,ay ey cl t epi eh v r iy oy s cl t er ao n ao r ah s cl p l,0.95182,236,d ih vcl sh ao n cl k ae cl ch dh ae cl b ih vcl g uw s w ix th aw cl hh eh l cl,0.798948,258,ey cl t uw th cl p ey s cl t uw vcl sh uh vcl b iy s cl k w iy z f er m dh ax vcl b aa cl t ax,0.866013,263,hh aw eh v er ah vcl b oy z l ay v l iy ay z m ay r ow,1.02544,287,iy cl ch er r ey z ix n z aw cl d ao r z ao n ix cl p ao r cl ch s cl t eh cl p,0.861423,289,dh eh cl k ah v er m ih cl s ao ao th er ix z ey sh en ax v hh ix s ix dx ix s ix n sh ix,0.843957,330,l aa r vcl jh ix n vcl jh eh cl k sh ix n m ow l vcl d ih vcl d l eh dx er z aa r aa l s ow v ey l ax vcl b el f er s ay n ix n s cl t ax l ey sh en,0.906969,472
member,dh ey aa f ix n vcl g ow aw dx ih n ix iy v n iy,0.794141,173,dh ax r ow z cl k er s aa zh s epi m ah l s w iy,0.945405,224,p eh ng w ix n z l ih v n ih er dh ax ay s iy ix n aa r dx ix cl,0.846003,234,n ah th ih ng ih z ae z ax f eh n s ax v ae z ih n ix s ix n cl,0.937477,299,dh ax s er cl p l eh sh uw z w er s ow l dh eh cl t ix vcl d ih s cl k aw m cl p r ay,0.863126,342,w ix dx ax vcl b l uw f eh dh er ih n ix m ae n z hh ae m ey cl k ix n hh ae cl p iy ao l vcl d,0.888762,349,s eh l f s en cl t eh v r ix dx iy w ah z ae n ih z ae n eh v er hh ae vcl b ix,0.938874,378,ih n s ah m eh zh er dh ey vcl d ix cl p eh n dh ix cl p aa n dh ax s cl t r ah cl sh er ah v ih n vcl d ix v ih vcl jh uw el cl p er s en ae l ix dx,0.848582,450
member,s ow dx iy hh ay vcl z dh ix m ae n ey,0.902317,177,b ih dh ax cl k el s cl k aa l er z sil ay vcl g y uw hh ih s cl t r,0.829996,215,p ax vcl l ih z ix dx iy ix n ow dx er ay dx iy vcl g ow hh ae n d ix n hh ae n vcl,0.785107,241,y ow ix z cl k ah m ah cl p ix th cl p ae f ax l aa vcl jh ix cl k el ax vcl g z ae m cl p el,0.777436,250,hh ih z ix cl k s eh s er z hh eh v ix vcl d aa cl t ix vcl dh iy aa cl p ix z ih cl ao l cl t er n cl t ix,0.748509,271,w el s er v r uw vcl b aa r cl p ay eh f cl t er r ey cl ch el z cl t aa cl,0.849381,296,dh ow z ae n s ix z ax vcl b iy s cl t r ey f ao r dx ih f iy cl p ix ng cl p eh m th r uw cl k eh r f l iy f er s cl,0.805095,354,ix n dh ax l ay dx ix vcl sil ix n cl t ih r iy er hh iy s ao eh dh er sil m eh n ix n w ih m ix n s cl t r ah vcl g l iy ix n cl t uw dh eh er r ae cl p,0.798607,418
member,p l iy s ih ng vcl jh ih s dh ax cl k l ah vcl th iy,0.856647,177,hh iy s n ae cl ch cl ix ae dx ix cl s ae v ix n vcl jh ax l,0.765563,188,dh ix dx ix w ix z ah hh ow cl f el s ay n hh iy cl t ow l dx ix m s eh l,0.794358,240,dh ix ay r ey cl ae cl t er s cl t aa m cl t ax w ey ix dx iy aa dx ix cl k l,0.922119,256,jh eh n l iy cl p l ey s vcl jh ih m z f ow m s cl k el cl ch er ix n ax vcl b aa cl k,0.872382,302,dh ix vcl b eh er cl k uw dx ix r ix cl k oy l vcl d f er m dh ax s er cl p ix n z cl p oy z n ix s f ae ng,0.904932,335,b ay aa l ix vcl jh ih s iy z r ey dx iy ow ae cl t ix f ay s ix cl t ow cl p s cl t s cl t eh dx iy m ay cl k r ow ao r vcl g ix n ix z ix m,0.822891,400,dh ax w er dx aa l s ax m ey dx ix n f iy l hh ey cl sil s ix n s ih er hh ey cl f er dh ow s ow l ey vcl b el vcl,0.896106,497
member,l eh cl t s cl t ey cl k ax m hh ow,0.917942,178,w iy cl p l ae n cl t ix vcl b ih l ey n uw vcl b eh v r ix vcl jh cl p l ae n cl,0.918604,264,k ao r iy ix cl t ae cl dh ax cl p r aa vcl jh ix cl k w ix th eh cl k s cl t r ix vcl d ih cl t er m ix n ey sh,0.870155,293,dh eh r vcl b ey s ih s iy m z vcl d iy cl p er dh eh n m ih er sil ax th ao r ix cl t,0.879686,321,dh ix cl t ae cl k s ix cl k ae vcl b r ow cl d aw n eh n cl k ao s cl t cl t r ae f ix vcl jh ae,0.934191,353,s ey hh iy ih z ax hh ao r s th iy f sil r ah n z ix n ow l ae dx ix vcl,0.971167,369,m ay vcl d iy z ay er z ax s ih m cl p el sil g ih v m iy w ah n ih n f ao r m ix cl t ax v cl p eh r vcl g r ae f ah n ix s ah vcl jh ix,0.890605,477,eh dx ix cl k ih cl sil m ae n vcl d ey cl t s cl k ax m cl p l ay ix n s w ih th eh vcl g z ih s cl t ix ng r eh vcl ix l ey sh ix n,0.844407,498
member,m ey ay vcl g ih cl t s m ao cl k uh cl k iy z epi n ao r aa,0.73768,180,t w ay s ix n ih l iy f eh,0.810452,185,ax vcl d aa cl t ax w ax z ix n ix ae m vcl b y ah n cl s w ax cl dh ax cl p ey sh ix n,0.732534,270,m ow s cl p r iy s ih ng cl k s sil hh ae dx ah th er dx ix v dh ax v ow cl s cl k aw n cl t eh vcl,0.837762,277,g r eh vcl g r iy ix n cl t aa m cl ch ow s cl t ax w aa cl ch cl k aa r cl t uw n z ix n ae f cl t ix n uw,0.864138,328,ay r ix s th ih ng cl k s dh ih s uw hh ae z ix l eh v ix n s cl p ae n ix sh sil z iy vcl b r ah,0.817214,351,w iy ix cl k s cl p ih r iy ix n s cl t ix s cl t r eh s eh n f ah s cl t r ey sh ix n ah vcl t ey n ih ng aw vcl d ix vcl g r iy,0.825765,395,dh ax l ay v er iy hh ae z ow cl p ix n sh eh l v z sil iy v ix n ix n iy ah n vcl d aw n cl p ih r iy aa dx ix cl k el s cl t aa cl k r uw,0.872762,458
member,dh ih l r ow l ao f ih n ix n ah dh er vcl d,0.91452,182,w ax n ao l eh l s f ey l z sil y uw z f ao r,0.939519,239,t ah vcl b ow cl t er cl k ey v ax vcl b el ax v hh ao l ix ng hh y uw vcl jh l ow cl,0.853151,269,jh ao r vcl jh ix z cl p eh r ix n oy dx ix vcl b ae dx ix f iy cl ch er vcl g ae sh ao r dx ih vcl,0.870065,284,s ah m er cl t ay m s ah cl p er aw cl s ay vcl ix z ix n ae cl ch r,0.837955,286,dh iy z ix cl s cl k l uw s ix vcl d aa cl k ix m ix cl s epi m ax s vcl b iy l aa cl t ae cl p ix ao l cl t ay m,0.845568,338,r aa vcl m ey hh ah n vcl g eh r iy n vcl g uw l aa sh f er vcl d ih n er sil ix n vcl g uw s vcl b er ix cl p ay f er vcl d ix z er,0.821793,398,r ow l cl p l ey ng y uw z f er n ae l ax s ih s f aa l ax z dh iy z vcl jh eh n l s cl t ae cl s epi l iy dx iy ng cl t ix cl t r ey n ix,0.82725,406
member,hh aw cl p er m ix n ah aa r dh eh r eh cl k er vcl,0.890217,183,dh ax m iy dx iy ng ih z n aw ax vcl jh er n vcl,1.0224,187,dh iy eh m cl p er hh eh dx ax m iy n cl t eh m cl p,0.926588,196,k r ih dx ix cl k el iy cl k w ih m eh n iy vcl z cl p r aa cl p er m ey n ix n cl,0.806845,258,sh iy cl k ix n vcl d ix cl k r iy s dh ax n ah m vcl b er ix v cl t eh n cl t ey sh en z,0.836727,273,t ih m cl t ey cl k sh iy l ah cl t ix s iy m uw v iy z cl t w ay s ax w iy cl,0.887416,283,dh ax cl dh ey w uh vcl r iy cl k ix n s ih dx er ix cl t sil dh ey ih sh er vcl d hh ih m ih th hh iy w uh vcl r iy r ay dx ix,0.837843,473,hh ih z ay z epi w er vcl d aa r cl sil f l uw ix vcl d sil f ih r f el sil eh n iy vcl g ey v ax s ay eh z m aa n ay f w ix n ih ax,0.898033,499
member,n ao r ah ay th ih ng cl k y uw ix m ae vcl jh ix n eh,0.918981,186,sh iy vcl d aa l s ow r ix m eh m vcl b er ix f dh ix vcl g r uw m vcl d ay vcl d l ey dx,0.841285,266,eh n iy cl k aa n cl t er vcl b y uw sh ix n z epi w ax vcl b iy vcl g r ey cl l iy ix cl p r iy sh iy ey dx ix,0.855664,271,m ey ay ao r dx er ah s cl t r aa v er iy s ah n vcl d ey ae f cl t r ay iy vcl d ih n,0.891212,288,m ih s cl k iy dx ow z ix vcl g z ih s cl t ih n w ao r m hh y uw m ih vcl d cl k l ay m ix cl,0.922805,307,t aa vcl p l ey s cl t aa cl p r ay ao r ix dx iy aa n vcl g eh dx ih ng hh ix z vcl b ay cl k f ih cl k s cl,0.932842,337,w ah n sh uw f ih n ih sh vcl g r iy s ix ng y er cl ch ey n sil b iy sh er dx ix w aa sh th er ax l,0.931205,358,dh ax s ow sh ah l eh n s ay cl k ax l aa vcl jh ix cl k el cl k aa n s ix cl k w eh n s ix z ax v dh ih s cl k ix n cl t ix n y uw cl t uw ax f eh cl k dh iy er iy,0.846525,459
member,w ix vcl d y uw ax l aw ae cl k s ax v ay l ax n cl,0.892411,187,w iy v vcl g ah cl p l eh n iy v cl t ay m vcl d ix th ih ng cl k ax vcl b aw cl dh ae,0.742388,205,y uw m ah s cl t ix cl k s cl p l ih s ix l iy vcl d ax l iy cl t f ay l,0.869494,224,dh ih m y uw z iy ah m hh ay er z m uw z ih sh ix n z eh v r iy iy v n ix,0.865276,243,r ih cl ch cl p er cl ch ih cl s eh v er l s ay n vcl d l ih th ix vcl g r ae f,0.86336,273,g r ow ix ng w eh l cl k eh cl t vcl g aa r vcl en z ix z v eh r iy cl t ay m cl k ix n s uw m ix,0.86557,315,k eh s cl t er oy l m ey vcl f er m cl k ae s cl t er vcl b iy n z hh eh z vcl g ao n aw dx ix v s cl t ay l eh z ix m eh dx ix s,0.85732,408,b iy f ao r dx er r ay v ih ng ih s f ao r m y ix l ah sil w iy ix cl s cl p l ey n w er w iy m iy n vcl b ay cl p r aa vcl l m z ix v dh ix s cl k ay n vcl,0.825065,433
member,p aa vcl d ow n cl k ih er vcl b aw cl dh ix cl k ih vcl,0.863571,189,hh iy cl k ix vcl t ey cl dh iy ih v ay s er l iy v ih,0.849519,197,d aa l f ih n z ax er ix n cl t eh l ax vcl jh eh m er r iy n m ae m el,0.878926,266,s iy m eh n cl ix z epi m eh zh er dx ix ng cl k y uw v ih cl k y aa r vcl,0.902409,269,w eh dx ih z ix s epi l aa r vcl jh th ih ng vcl b ay dx ah aa er n ix ng vcl b ao r vcl,0.920293,283,dh ax s ao ix z vcl b r ow cl k ix n s uh cl ch aa cl dh ax w uh dx ix n s cl t eh vcl,0.965691,320,s ix v ih er m ay ow cl p iy ih cl k ix n cl t r ih v ih cl t ih vcl t er r aa n z sil ix m f ih r iy ao r ih dx iy cl k aa m cl p l eh cl k,0.901193,500,dh ey dh ih ng dh eh ih cl ch ix ng cl p aa r cl t s w ax v cl k ih r ix s iy n vcl g ey v er l iy th eh n aa l s ow cl k ih l vcl dh ax cl p eh s cl,0.872988,507
member,r aa cl k er r ow m y uw z ix cl k hh ae z ix vcl g r ey cl r ih dh ax,0.736738,195,t iy hh ih er dh ix s l ey vcl b ih l z r ih ng ix,0.758046,207,dh ax m ae ng g ow eh n dh ax cl p ax cl p ay aa r ix n ax vcl b ow,0.909601,230,n eh v dh ax l eh s sil sh iy cl k ix n cl t ih n iy cl t ix m uw v ah cl p ao r vcl,0.79843,248,dh ix vcl jh ay n r eh vcl w uh vcl sh ih m er dx ix n dh ix vcl g l ih s epi n ix ng s ah,0.856663,261,ax s eh cl k ix n cl p oy n cl r ax cl k w aa r z epi m ao r ix cl k s cl t eh n vcl d ix vcl k aa m eh n cl,0.84185,294,ax cl k ah v er cl t ix n cl t ey n er s eh cl ch ix z ix cl k ih cl ch ix n vcl g aa r vcl b ix vcl jh cl p ey l m ay cl d uw ix z ix cl t ao l ix,0.822456,372,dh ix vcl d ay vcl n ow s ix s w ax s cl t ix s cl k er ix vcl jh ix ng sil hh aw eh v er hh iy w ix z n aa cl ow v er l ix w er iy vcl,0.85306,379
member,ah m vcl g oy ng cl t ih s er cl ch dh ih s hh aw,0.789887,196,ix cl t s ih l iy cl k el cl t ix cl p ow s cl t ey dx ix cl ch ae cl,0.854392,205,d uw y uw ao l w ey z n ae v ix vcl g ey cl l ay cl dh ih,0.834156,209,t ey cl k y er cl k aa vcl b l er sh aa cl p s ah m w eh r eh l,0.895512,264,r ix m eh m vcl b er cl t uw ah l aw ay vcl d eh n ih cl k el cl t w ih n z cl t uw eh n cl t er f r ih l,0.824124,333,dh iy ae v er cl t ay z ix ng vcl b er s ax v cl p l ix m ih th f er ay dx iy s cl t ao r n eh v er cl ch ey n vcl jh ix,0.829065,406,dh ax m ay ix n iy eh cl k l ae s ix cl k s cl k aa l er vcl d ix s ix cl p ih er vcl w aa s er v ey ng ey n cl ch ix n cl r uw ix n,0.843633,440,m eh n iy w eh l th iy cl t ay cl k uw n z epi s cl p l er vcl jh vcl d eh n vcl b ao cl b ow th ey y aa cl t sil ae n vcl d ix s cl k uw n,0.927917,470
member,l ey dx er y uw sh ae l n ow w ix cl b eh dx,0.854372,196,dh ey ix s uw m n ow vcl b er vcl g l er w el eh v er eh n cl t er hh iy,0.897535,254,n aa n cl p r aa f ix cl ao dx ix n ix z ey sh en z hh ae f r iy cl k w ix cl f ah n r ey z er,0.800701,300,b aa r vcl b z vcl g ow l vcl b r ey s l ih cl w ax z ix vcl g r ae vcl jh uw ey sh en cl p r eh z ix n,0.762264,305,ae ng vcl g ao r cl k ae cl s ax f er ih er dh eh n s ay ix m iy,0.826432,320,t r ih m ax eh cl k s eh s cl k l ey ax w ey f er m aw dx er eh vcl jh ix,0.967031,326,dh ax cl p r uw f s ey y uw ao r s iy cl k iy ng ix z n aa cl ax v eh l vcl b el ix n vcl b uh cl k,0.870122,335,ey cl k l ih l iy r eh cl k ix vcl n ay z ix cl k s eh cl sh ix n ix z ix s cl t ae cl ch ix cl t ao r iy m er vcl jh er ao r cl k en s aa l ix vcl d ey sh ix,0.88826,476
